Transfer Institution,Transfer Course,Receive Institution,Equivalent Course,Comments,Begin Date,End Date
UNIVERSITY OF WASHINGTON,T CRIM 101 INTRODUCTION TO CRIMINAL JUSTICE (5),BELLEVUE COLLEGE,CJ& 101 INTRODUCTION TO CRIMINAL JUSTICE (5),Transferable Electives,1/1/2015,
UNIVERSITY OF WASHINGTON,T EGL 202 INTRODUCTION TO AMERICAN INDIAN CONTEMPORARY ISSUES (5),BELLEVUE COLLEGE,CES 120 INTRODUCTION TO NATIVE AMERICAN STUDIES (5),Humanities or Social Sciences,1/1/2014,
UNIVERSITY OF WASHINGTON,T PHIL 100 INTRODUCTION TO PHILOSOPHY (5),BELLEVUE COLLEGE,PHIL& 101 INTRODUCTION TO PHILOSOPHY (5),Humanities,1/1/2010,
UNIVERSITY OF WASHINGTON,T SOC 165 INTRODUCTION TO SOCIOLOGY: DEVELOPING THE SOCIOLOGICAL IMAGINATION (5),BELLEVUE COLLEGE,SOC& 101 INTRODUCTION TO SOCIOLOGY (5),Social Sciences,1/1/2010,
UNIVERSITY OF WASHINGTON,T SOC 265 RACE AND ETHNICITY IN THE UNITED STATES (5),BELLEVUE COLLEGE,CES 100 RACE IN THE UNITED STATES (5),"Humanities
Social Sciences
Cultural Diversity",7/1/2010,
UNIVERSITY OF WASHINGTON,TCOM 201 MEDIA AND SOCIETY (5),BELLEVUE COLLEGE,CMST& 102 INTRODUCTION TO MASS MEDIA (5),Social Sciences,1/1/2006,
UNIVERSITY OF WASHINGTON,TCORE 101 BLOG ME! WRITING IN THE DIGITAL AGE,BELLEVUE COLLEGE,ENGL& 101 ENGLISH COMPOSITION I (5),Written Communication,7/1/2009,
UNIVERSITY OF WASHINGTON,TCSIG 165 INTRODUCTION TO SOCIOLOGY: DEVELOPING THE SOCIOLOGICAL IMAGINATION (5),BELLEVUE COLLEGE,SOC& 101 INTRODUCTION TO SOCIOLOGY (5),Social Science,,
UNIVERSITY OF WASHINGTON,TCSS 142 INTRODUCTION TO PROGRAMMING (5),BELLEVUE COLLEGE,CS 210 FUNDAMENTALS OF COMPUTER SCIENCE I (5),,,
UNIVERSITY OF WASHINGTON,TCSS 143 FUNDAMENTALS OF OBJECT-ORIENTED PROGRAMMING THEORY AND APPLICATION (5),BELLEVUE COLLEGE,CS 211 FUNDAMENTALS OF COMPUTER SCIENCE II (5),,,
UNIVERSITY OF WASHINGTON,TCXIN 272 FILM STUDIES (5),BELLEVUE COLLEGE,CMST 901H TRANSFER-IN COMMUNICATION STUDIES COURSE,Humanities,1/1/2008,
UNIVERSITY OF WASHINGTON,TESC 227 EARTH HISTORY (5),BELLEVUE COLLEGE,ENVS 901C TRANSFER-IN ENVIRONMENTAL SCIENCE COURSE NON-LAB,Sciences (No Lab),1/1/2008,
UNIVERSITY OF WASHINGTON,TINST 207 LIVING AND WORKING IN A VIRTUAL WORLD: TECHNOLOGIES OF THE WORLD WIDE WEB (3),BELLEVUE COLLEGE,BTS 110 WEB ESSENTIALS FOR COMMUNICATIONS (5),Restricted Electives,1/1/2008,
UNIVERSITY OF WASHINGTON,TMATH 107 MATHEMATICS: A PRACTICAL ART (5),BELLEVUE COLLEGE,MATH& 107 MATH IN SOCIETY (5),Quantitative or Sciences,1/1/2010,
UNIVERSITY OF WASHINGTON,"TMATH 115 PRE-CALCULUS I: FUNCTIONS (5)
TMATH 116 PRE-CALCULUS II: TRIGONOMETRY (5)",BELLEVUE COLLEGE,"MATH& 141 PRECALCULUS I (5)
MATH& 142 PRECALCULUS II (5)",Quantitative or Sciences,1/1/2015,
UNIVERSITY OF WASHINGTON,"TMATH 124 CALCULUS WITH ANALYTIC GEOMETRY I (5)
TMATH 125 CALCULUS WITH ANALYTIC GEOMETRY II (5)
TMATH 126 CALCULUS WITH ANALYTIC GEOMETRY III (5)",BELLEVUE COLLEGE,"MATH& 151 CALCULUS I (5)
MATH& 152 CALCULUS II (5)
MATH& 153 CALCULUS III (5)
MATH& 254 CALCULUS IV (5)",Quantitative or Sciences,1/1/2010,
UNIVERSITY OF WASHINGTON,TPSYCH 100 INTRODUCTION TO PSYCHOLOGY (5),BELLEVUE COLLEGE,PSYC& 100 GENERAL PSYCHOLOGY (5),Social Sciences,1/1/2008,
UNIVERSITY OF WASHINGTON,TPSYCH 240 SOCIAL PSYCHOLOGY (5),BELLEVUE COLLEGE,PSYC 240 SOCIAL PSYCHOLOGY (5),Social Sciences,1/1/2008,
UNIVERSITY OF WASHINGTON,TQS 110 INTRODUCTORY STATISTICS WITH APPLICATIONS (5),BELLEVUE COLLEGE,MATH 130 INTRODUCTION TO STATISTICS (5),Quantitative or Sciences,1/1/2008,
UNIVERSITY OF WASHINGTON,TWRT 112 INTRODUCTION TO ACADEMIC WRITING (5),BELLEVUE COLLEGE,ENGL& 101 ENGLISH COMPOSITION I (5),Written Communication,1/1/2010,
UNIVERSITY OF WASHINGTON,TWRT 211 ARGUMENT AND RESEARCH IN WRITING (5),BELLEVUE COLLEGE,ENGL 201 THE RESEARCH PAPER (5),Written Communication,1/1/2010,
UNIVERSITY OF WASHINGTON,TWRT 291 TECHNICAL COMMUNICATION IN THE WORKPLACE (5),BELLEVUE COLLEGE,ENGL& 235 TECHNICAL WRITING (5),Written Communication,,
