Transfer Institution,Transfer Course,Receive Institution,Equivalent Course,Comments,Begin Date,End Date
WASHINGTON STATE UNIVERSITY,ACCTG 230 INTRODUCTION TO FINANCIAL ACCOUNTING (3),BELLEVUE COLLEGE,"ACCT& 201 PRINCIPLES OF ACCOUNTING I (5)
ACCT& 202 PRINCIPLES OF ACCOUNTING II (5)",Transferable Electives,,
WASHINGTON STATE UNIVERSITY,ACCTG 231 INTRODUCTION TO MANAGERIAL ACCOUNTING (3),BELLEVUE COLLEGE,ACCT& 203 PRINCIPLES OF ACCOUNTING III (5),Transferable Electives,,
WASHINGTON STATE UNIVERSITY,ANTH 101 GENERAL ANTHROPOLOGY (3),BELLEVUE COLLEGE,ANTH& 100 SURVEY OF ANTHROPOLOGY (5),Social Sciences,,
WASHINGTON STATE UNIVERSITY,ANTH 130 GREAT DISCOVERIES IN ARCHAEOLOGY (3),BELLEVUE COLLEGE,ANTH& 204 ARCHAEOLOGY (5),Social Sciences,,
WASHINGTON STATE UNIVERSITY,ANTH 201 ART AND SOCIETY (3),BELLEVUE COLLEGE,ANTH 901H TRANSFER-IN ANTHROPOLOGY COURSE IN HUMANITIES,Humanities,,
WASHINGTON STATE UNIVERSITY,ANTH 203 PEOPLES OF THE WORLD (3),BELLEVUE COLLEGE,ANTH& 206 CULTURAL ANTHROPOLOGY (5),Social Sciences,,
WASHINGTON STATE UNIVERSITY,ANTH 230 INTRODUCTION TO ARCHAEOLOGY (3),BELLEVUE COLLEGE,ANTH& 204 ARCHAEOLOGY (5),Social Sciences,1/1/1972,
WASHINGTON STATE UNIVERSITY,ANTH 260 INTRODUCTION TO PHYSICAL ANTHROPOLOGY (4),BELLEVUE COLLEGE,ANTH& 215 BIOANTHROPOLOGY W/LAB (6),Sciences (Lab),1/1/1972,
WASHINGTON STATE UNIVERSITY,ASTR 135 ASTRONOMY (4),BELLEVUE COLLEGE,ASTR& 101 INTRODUCTION TO ASTRONOMY (6),"Natural Sciences
Laboratory Science",7/1/1968,
WASHINGTON STATE UNIVERSITY,ASTR 138 PLANETS AND PLANETARY SYSTEMS (3),BELLEVUE COLLEGE,ASTR 901C TRANSFER-IN ASTRONOMY COURSE NON-LAB,Natural Sciences,7/1/2004,
WASHINGTON STATE UNIVERSITY,ASTR 150 SCIENCE AND THE UNIVERSE (3),BELLEVUE COLLEGE,ASTR& 100 SURVEY OF ASTRONOMY (5),Natural Sciences,7/1/1998,
WASHINGTON STATE UNIVERSITY,B LAW 210 LAW AND THE LEGAL ENVIRONMENT OF BUSINESS (3),BELLEVUE COLLEGE,BUS& 201 BUSINESS LAW (5),Transferable Elective,1/1/1995,
WASHINGTON STATE UNIVERSITY,BIOL 101 GENERAL BIOLOGY LECTURE (3),BELLEVUE COLLEGE,BIOL 901C TRANSFER-IN BIOLOGY COURSE NON-LAB,Natural Sciences,7/1/2000,
WASHINGTON STATE UNIVERSITY,BIOL 102 GENERAL BIOLOGY (4),BELLEVUE COLLEGE,BIOL& 100 SURVEY OF BIOLOGY (6),"Natural Sciences
Laboratory Science",7/1/2000,
WASHINGTON STATE UNIVERSITY,"BIOL 106 INTRODUCTORY BIOLOGY: ORGANISMAL BIOLOGY (4)
BIOL 107 INTRODUCTORY BIOLOGY: CELL BIOLOGY AND GENETICS (4)",BELLEVUE COLLEGE,"BIOL& 211 BIOLOGY MAJORS CELLULAR OR ANIMAL OR PLANT (6)
BIOL& 212 BIOLOGY MAJORS ANIMAL OR CELLULAR OR PLANT (6)
BIOL& 213 BIOLOGY MAJORS PLANT OR CELLULAR OR ANIMAL (6)",Sciences (Lab),1/1/2017,
WASHINGTON STATE UNIVERSITY,BIOL 120 INTRODUCTION TO BOTANY (4),BELLEVUE COLLEGE,BOTAN 110 INTRODUCTORY PLANT BIOLOGY (6),Sciences (Lab),,
WASHINGTON STATE UNIVERSITY,BIOL 135 ANIMAL NATURAL HISTORY (3),BELLEVUE COLLEGE,BIOL 902C TRANSFER-IN BIOLOGY COURSE NON-LAB,Science (no lab),,
WASHINGTON STATE UNIVERSITY,BIOL 140 INTRODUCTION TO NUTRITIONAL SCIENCE (3),BELLEVUE COLLEGE,NUTR& 101 NUTRITION (5),Natural Sciences,7/1/2011,
WASHINGTON STATE UNIVERSITY,"BIOL 251 INTRODUCTORY HUMAN PHYSIOLOGY (4)
BIOL 315 GROSS AND MICROANATOMY (4)",BELLEVUE COLLEGE,"BIOL& 241 HUMAN ANATOMY AND PHYSIOLOGY I (6)
BIOL& 242 HUMAN ANATOMY AND PHYSIOLOGY II (6)",Sciences (Lab),,
WASHINGTON STATE UNIVERSITY,CAC 101 INTRODUCTION TO COMPARATIVE AMERICAN CULTURES (3),BELLEVUE COLLEGE,CES 100 RACE IN THE UNITED STATES (5),Humanities or Social Sciences,,
WASHINGTON STATE UNIVERSITY,CE 211 STATICS (3),BELLEVUE COLLEGE,ENGR& 214 STATICS (4),Transferable Electives,1/1/2004,
WASHINGTON STATE UNIVERSITY,CE 215 MECHANICS OF MATERIALS (3),BELLEVUE COLLEGE,ENGR& 225 MECHANICS OF MATERIALS (4),Transferable Electives,1/1/2004,
WASHINGTON STATE UNIVERSITY,CES 101 INTRODUCTION TO COMPARATIVE ETHNIC STUDIES (3),BELLEVUE COLLEGE,CES 100 RACE IN THE UNITED STATES (5),Social Sciences,,
WASHINGTON STATE UNIVERSITY,CES 131 INTRODUCTION TO BLACK STUDIES (3),BELLEVUE COLLEGE,CES 140 INTRODUCTION TO AFRICAN AMERICAN STUDIES (5),,1/1/2003,
WASHINGTON STATE UNIVERSITY,CHEM 101 INTRODUCTION TO CHEMISTRY (4),BELLEVUE COLLEGE,CHEM& 121 INTRODUCTION TO CHEMISTRY (6),Sciences (Lab),,
WASHINGTON STATE UNIVERSITY,CHEM 102 CHEMISTRY RELATED TO LIFE SCIENCES (4),BELLEVUE COLLEGE,CHEM& 131 INTRODUCTION TO ORGANIC/BIOCHEMISTRY (6),"Natural Sciences
Laboratory Science",7/1/1968,
WASHINGTON STATE UNIVERSITY,"CHEM 105 PRINCIPLES OF CHEMISTRY I (4)
CHEM 106 PRINCIPLES OF CHEMISTRY II (4)",BELLEVUE COLLEGE,"CHEM& 161 GENERAL CHEMISTRY I (6)
CHEM& 162 GENERAL CHEMISTRY II (6)
CHEM& 163 GENERAL CHEMISTRY III (6)",Sciences (Lab),,
WASHINGTON STATE UNIVERSITY,CHEM 345 ORGANIC CHEMISTRY I (4),BELLEVUE COLLEGE,CHEM& 261 ORGANIC CHEMISTRY I (6),"Natural Sciences
Laboratory Science",7/1/2005,
WASHINGTON STATE UNIVERSITY,"CHEM 345 ORGANIC CHEMISTRY I (4)
CHEM 348 ORGANIC CHEMISTRY II AND PROBLEM SOLVING (4)",BELLEVUE COLLEGE,"CHEM& 261 ORGANIC CHEMISTRY I (6)
CHEM& 262 ORGANIC CHEMISTRY II (6)
CHEM& 263 ORGANIC CHEMISTRY III (6)","Natural Sciences
Laboratory Science",7/1/2005,
WASHINGTON STATE UNIVERSITY,CHEM 348 ORGANIC CHEMISTRY II AND PROBLEM SOLVING (4),BELLEVUE COLLEGE,"CHEM& 262 ORGANIC CHEMISTRY II (6)
CHEM& 263 ORGANIC CHEMISTRY III (6)","Natural Sciences
Laboratory Science",7/1/2005,
WASHINGTON STATE UNIVERSITY,COM 101 MASS COMMUNICATIONS AND SOCIETY (3),BELLEVUE COLLEGE,CMST& 102 INTRODUCTION TO MASS MEDIA (5),Social Sciences,7/1/1968,
WASHINGTON STATE UNIVERSITY,COM 102 PUBLIC SPEAKING IN THE DIGITAL AGE (3),BELLEVUE COLLEGE,CMST& 220 PUBLIC SPEAKING (5),,,
WASHINGTON STATE UNIVERSITY,COM 105 COMMUNICATION IN GLOBAL CONTEXTS (3),BELLEVUE COLLEGE,CMST 280 INTERCULTURAL COMMUNICATION (5),Humanities,1/1/2012,
WASHINGTON STATE UNIVERSITY,COM 295 MEDIA WRITING (3),BELLEVUE COLLEGE,CMST 141 INTRODUCTION TO MEDIA WRITING (5),Humanities,8/1/1999,
WASHINGTON STATE UNIVERSITY,"COMST 102 PUBLIC SPEAKING: THEORY, MODELS, AND PRACTICE (3)",BELLEVUE COLLEGE,CMST& 220 PUBLIC SPEAKING (5),Humanities,1/1/1999,
WASHINGTON STATE UNIVERSITY,COMST 235 PRINCIPLES OF GROUP COMMUNICATION (3),BELLEVUE COLLEGE,CMST& 230 SMALL GROUP COMMUNICATION (5),Social Sciences,,
WASHINGTON STATE UNIVERSITY,"CPT S 121 PROGRAM DESIGN AND DEVELOPMENT (4)
CPT S 122 DATA STRUCTURES (4)",BELLEVUE COLLEGE,"CS 210 FUNDAMENTALS OF COMPUTER SCIENCE I (5)
CS 211 FUNDAMENTALS OF COMPUTER SCIENCE II (5)
CS 212 C++ DATA STRUCTURES (5)",Transferable Electives,1/1/2001,
WASHINGTON STATE UNIVERSITY,CPT S 223 ADVANCED DATA STRUCTURES C/C++ (3),BELLEVUE COLLEGE,CS 300 DATA STRUCTURES (5),,,
WASHINGTON STATE UNIVERSITY,CPT S 260 INTRODUCTION TO COMPUTER ARCHITECTURE (3),BELLEVUE COLLEGE,CS 351 COMPUTER ARCHITECTURE I (5),,,
WASHINGTON STATE UNIVERSITY,CPT S 322 SOFTWARE ENGINEERING PRINCIPLES I (3),BELLEVUE COLLEGE,CS 410 SOFTWARE ENGINEERING (5),,,
WASHINGTON STATE UNIVERSITY,CPT S 355 PROGRAMMING LANGUAGE DESIGN (3),BELLEVUE COLLEGE,CS 320 PROGRAMMING LANGUAGES (5),,,
WASHINGTON STATE UNIVERSITY,CRM J 101 INTRODUCTION TO THE ADMINISTRATION OF CRIMINAL JUSTICE (3),BELLEVUE COLLEGE,CJ& 101 INTRODUCTION TO CRIMINAL JUSTICE (5),Transferable Elective,7/1/1995,
WASHINGTON STATE UNIVERSITY,CRM J 205 REALIZING JUSTICE IN A MULTICULTURAL SOCIETY (3),BELLEVUE COLLEGE,CJ 242 LAW & THE POLICE IN A MULTICULTURAL SOCIETY (5),Restricted Electives,1/1/2011,
WASHINGTON STATE UNIVERSITY,DEC S 215 STATISTICS (4),BELLEVUE COLLEGE,BA 240 STATISTICAL ANALYSIS (5),Transferable Electives,1/1/1999,
WASHINGTON STATE UNIVERSITY,ECON 101 FUNDAMENTALS OF MICROECONOMICS (3),BELLEVUE COLLEGE,ECON& 201 MICROECONOMICS (5),Social Sciences,1/1/2000,
WASHINGTON STATE UNIVERSITY,ECONS 101 FUNDAMENTALS OF MICROECONOMICS (3),BELLEVUE COLLEGE,ECON& 201 MICROECONOMICS (5),Social Sciences,,
WASHINGTON STATE UNIVERSITY,ECONS 102 FUNDAMENTALS OF MACROECONOMICS (3),BELLEVUE COLLEGE,ECON& 202 MACROECONOMICS (5),Social Sciences,,
WASHINGTON STATE UNIVERSITY,ENGL 101 INTRODUCTORY WRITING (3),BELLEVUE COLLEGE,ENGL& 101 ENGLISH COMPOSITION I (5),Written Communication,,
WASHINGTON STATE UNIVERSITY,ENGL 105 COMPOSITION FOR ESL STUDENTS (3),BELLEVUE COLLEGE,ENGL& 101 ENGLISH COMPOSITION I (5),,,
WASHINGTON STATE UNIVERSITY,ENGL 108 INTRODUCTION TO LITERATURE (3),BELLEVUE COLLEGE,ENGL& 111 INTRODUCTION TO LITERATURE I (5),Humanities,1/1/1968,
WASHINGTON STATE UNIVERSITY,ENGL 198 ENGLISH COMPOSITION HONORS (3),BELLEVUE COLLEGE,ENGL& 101 ENGLISH COMPOSITION I (5),Written Communication,7/1/1968,
WASHINGTON STATE UNIVERSITY,ENGL 201 WRITING AND RESEARCH (3),BELLEVUE COLLEGE,ENGL 201 THE RESEARCH PAPER (5),Written Communication,,
WASHINGTON STATE UNIVERSITY,ENGLISH 101 INTRODUCTORY WRITING (3),BELLEVUE COLLEGE,ENGL& 101 ENGLISH COMPOSITION I (5),Written Communication,7/1/2012,
WASHINGTON STATE UNIVERSITY,ENGLISH 102 WRITING TUTORIAL (1),BELLEVUE COLLEGE,ENGL 105 GRAMMAR & COMMUNICATION (5),"Restricted Electives
Pass/Fail only course",7/1/2012,
WASHINGTON STATE UNIVERSITY,ENGLISH 105 COLLEGE COMPOSITION FOR MULTILINGUAL WRITERS (3),BELLEVUE COLLEGE,ENGL& 101 ENGLISH COMPOSITION I (5),Written Communication,1/1/2012,
WASHINGTON STATE UNIVERSITY,ENGLISH 108 INTRODUCTION TO LITERATURE (3),BELLEVUE COLLEGE,ENGL& 111 INTRODUCTION TO LITERATURE I (5),Humanities,1/1/2012,
WASHINGTON STATE UNIVERSITY,ENGLISH 201 WRITING AND RESEARCH (3),BELLEVUE COLLEGE,ENGL 201 THE RESEARCH PAPER (5),Written Communication,7/1/2012,
WASHINGTON STATE UNIVERSITY,ENGLISH 298 WRITING AND RESEARCH HONORS (3),BELLEVUE COLLEGE,ENGL 201 THE RESEARCH PAPER (5),Written Communications,7/1/2012,
WASHINGTON STATE UNIVERSITY,ENGLISH 299 WRITING TUTORIAL FOR HONORS STUDENTS (1),BELLEVUE COLLEGE,ENGL 901W TRANSFER-IN ENGLISH COURSE FOR WRITTEN COMMUNICATION,Written Communication,7/1/2012,
WASHINGTON STATE UNIVERSITY,"ENTOM 150 INSECTS, SCIENCE, AND WORLD CULTURES (3)",BELLEVUE COLLEGE,NSCI 901L TRANSFER-IN NATURAL SCIENCES LAB COURSE,Sciences (Lab),8/1/2012,
WASHINGTON STATE UNIVERSITY,"ENVR SCI 101 THE ENVIRONMENT, HUMAN LIFE, AND SUSTAINABILITY (4)",BELLEVUE COLLEGE,ENVS 901L TRANSFER-IN ENVIRONMENTAL SCIENCE LAB COURSE,"Natural Sciences
Laboratory Science",7/1/2012,
WASHINGTON STATE UNIVERSITY,ES/RP 101 ENVIRONMENT AND HUMAN LIFE (4),BELLEVUE COLLEGE,ENVS 901L TRANSFER-IN ENVIRONMENTAL SCIENCE LAB COURSE,"Natural Sciences
Laboratory Science",7/1/1997,
WASHINGTON STATE UNIVERSITY,F A 101 INTRODUCTION TO ART (3),BELLEVUE COLLEGE,ART 105 ART APPRECIATION (Variable 1-5),Humanities,,
WASHINGTON STATE UNIVERSITY,F A 103 ART II (3),BELLEVUE COLLEGE,ART 112 THREE-DIMENSIONAL DESIGN (5),Humanities (performance/studio),,
WASHINGTON STATE UNIVERSITY,F A 110 DRAWING (3),BELLEVUE COLLEGE,ART 120 DRAWING I (5),Humanities (performance/studio),,
WASHINGTON STATE UNIVERSITY,FA 110 DRAWING (3),BELLEVUE COLLEGE,ART 120 DRAWING I (5),Humanities Distribution,,
WASHINGTON STATE UNIVERSITY,FINE ART 101 INTRODUCTION TO ART (3),BELLEVUE COLLEGE,"ART 105 ART APPRECIATION (Variable, 1-5)",Humanities,7/1/2012,
WASHINGTON STATE UNIVERSITY,FINE ART 201 WORLD ART HISTORY I (3),BELLEVUE COLLEGE,ART 201 HISTORY OF WESTERN ART (5),Humanities,7/1/2012,
WASHINGTON STATE UNIVERSITY,"FINE ART 201 WORLD ART HISTORY I (3)
FINE ART 202 WORLD ART HISTORY II (3)",BELLEVUE COLLEGE,"ART 201 HISTORY OF WESTERN ART (5)
ART 202 HISTORY OF WESTERN ART (5)
ART 203 HISTORY OF WESTERN ART (5)",Humanities,7/1/2012,
