Transfer Institution,Transfer Course,Receive Institution,Equivalent Course,Comments,Begin Date,End Date
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,A A 210 ENGINEERING STATICS (4),BELLEVUE COLLEGE,ENGR& 214 STATICS (4),,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,A A 260 THERMODYNAMICS (4),BELLEVUE COLLEGE,ENGR& 224 THERMODYNAMICS (4),,,
UNIVERSITY OF WASHINGTON,ACCTG 225 FUNDAMENTALS OF MANAGERIAL ACCOUNTING (5),BELLEVUE COLLEGE,ACCT& 203 PRINCIPLES OF ACCOUNTING III (5),"Transferable Electives
Business Core",1996/7/1,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,AIS 102 INTRODUCTION TO AMERICAN INDIAN STUDIES (5),BELLEVUE COLLEGE,CES 120 INTRODUCTION TO NATIVE AMERICAN STUDIES (5),,,
UNIVERSITY OF WASHINGTON,ANTH 100 INTRODUCTION TO ANTHROPOLOGY (5),BELLEVUE COLLEGE,ANTH& 100 SURVEY OF ANTHROPOLOGY (5),Social Sciences,1994/1/1,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,ANTH 202 PRINCIPLES OF SOCIOCULTURAL ANTHROPOLOGY (5),BELLEVUE COLLEGE,ANTH& 206 CULTURAL ANTHROPOLOGY (5),,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,ANTH 203 INTRODUCTION TO ANTHROPOLOGICAL LINGUISTICS (5),BELLEVUE COLLEGE,"ANTH 208 LANGUAGE, CULTURE AND SOCIETY (5)",,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,ANTH 208 THE CULTURE CONCEPT (5),BELLEVUE COLLEGE,ANTH& 206 CULTURAL ANTHROPOLOGY (5),Social Sciences,,
UNIVERSITY OF WASHINGTON,ANTH 210 INTRODUCTION TO ENVIRONMENTAL ANTHROPOLOGY (5),BELLEVUE COLLEGE,ANTH 222 ENVIRONMENT AND CULTURE (5),Social Sciences,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,ANTH 215 INTRODUCTION TO MEDICAL ANTHROPOLOGY AND GLOBAL HEALTH (5),BELLEVUE COLLEGE,ANTH& 235 CROSS-CULTURAL MEDICINE (5),,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,ANTH 233 INTRODUCTION TO LANGUAGE AND SOCIETY (5),BELLEVUE COLLEGE,ANTH 219 SOCIOLINGUISTICS (5),,,
