Transfer Institution,Transfer Course,Receive Institution,Equivalent Course,Comments,Begin Date,End Date
SEATTLE UNIVERSITY UNDERGRADUATE,ANTH 120 ANTHROPOLOGICAL PERSPECTIVES (5),BELLEVUE COLLEGE,ANTH& 100 SURVEY OF ANTHROPOLOGY (5),Social Sciences,1/1/2007,
SEATTLE UNIVERSITY UNDERGRADUATE,ANTH 230 CULTURAL ANTHROPOLOGY (5),BELLEVUE COLLEGE,ANTH& 206 CULTURAL ANTHROPOLOGY (5),Social Sciences,1/1/1999,
SEATTLE UNIVERSITY UNDERGRADUATE,ART 100 DESIGN AND COLOR (5),BELLEVUE COLLEGE,ART 111 DESIGN COLOR (5),Humanities (performance/studio),9/21/2011,
SEATTLE UNIVERSITY UNDERGRADUATE,ART 161 DIGITAL PHOTOGRAPHY I (5),BELLEVUE COLLEGE,ART 154 INTRODUCTION TO DIGITAL PHOTOGRAPHY (5),Humanities (performance/studio),1/1/2007,
SEATTLE UNIVERSITY UNDERGRADUATE,ART 211 SURVEY OF WESTERN ART I: PREHISTORIC THROUGH MEDIEVAL (5),BELLEVUE COLLEGE,ART 201 HISTORY OF WESTERN ART (5),Humanities,1/1/2010,
SEATTLE UNIVERSITY UNDERGRADUATE,ART 212 SURVEY OF WESTERN ART II: RENAISSANCE THROUGH MODERN (5),BELLEVUE COLLEGE,"ART 202 HISTORY OF WESTERN ART (5)
ART 203 HISTORY OF WESTERN ART (5)",Humanities,,
SEATTLE UNIVERSITY UNDERGRADUATE,ART 212 SURVEY OF WESTERN ART II: RENAISSANCE THROUGH MODERN (5),BELLEVUE COLLEGE,ART 202 HISTORY OF WESTERN ART (5),Humanities,1/1/2005,
SEATTLE UNIVERSITY UNDERGRADUATE,BCOM 2800 BUSINESS COMMUNICATION (5),BELLEVUE COLLEGE,BTS 109 BUSINESS COMMUNICATIONS (5),,,
SEATTLE UNIVERSITY UNDERGRADUATE,BIOL 200 ANATOMY AND PHYSIOLOGY I (5),BELLEVUE COLLEGE,BIOL& 241 HUMAN ANATOMY & PHYSIOLOGY I (6),Sciences (Lab),1/1/2007,
SEATTLE UNIVERSITY UNDERGRADUATE,BIOL 210 ANATOMY AND PHYSIOLOGY II (5),BELLEVUE COLLEGE,BIOL& 242 HUMAN ANATOMY & PHYSIOLOGY II (6),Sciences (Lab),1/1/2007,
SEATTLE UNIVERSITY UNDERGRADUATE,BIOL 220 MICROBIOLOGY (5),BELLEVUE COLLEGE,BIOL& 260 MICROBIOLOGY (6),Sciences (Lab),1/1/2007,
SEATTLE UNIVERSITY UNDERGRADUATE,"BIOL 1610 BIOLOGY I: MOLECULAR AND CELLULAR BIOLOGY (4)
BIOL 1611 BIOLOGY LAB I (1)",BELLEVUE COLLEGE,BIOL& 211 BIOLOGY MAJORS CELLULAR (6),,,
SEATTLE UNIVERSITY UNDERGRADUATE,BL 165 GENERAL BIOLOGY I (5),BELLEVUE COLLEGE,BIOL& 211 BIOLOGY MAJORS CELLULAR OR ANIMAL OR PLANT (6),Sciences (Lab),1/1/1994,
SEATTLE UNIVERSITY UNDERGRADUATE,BL 166 GENERAL BIOLOGY II (5),BELLEVUE COLLEGE,BIOL& 212 BIOLOGY MAJORS ANIMAL OR CELLULAR OR PLANT (6),Sciences (Lab),1/1/1994,
SEATTLE UNIVERSITY UNDERGRADUATE,BL 167 GENERAL BIOLOGY III (5),BELLEVUE COLLEGE,BIOL& 213 BIOLOGY MAJORS PLANT OR CELLULAR OR ANIMAL (6),Sciences (Lab),1/1/1994,
SEATTLE UNIVERSITY UNDERGRADUATE,CHEM 101 INTRODUCTORY GENERAL CHEMISTRY (5),BELLEVUE COLLEGE,CHEM& 121 INTRODUCTION TO CHEMISTRY (6),Sciences (Lab),1/1/2007,
SEATTLE UNIVERSITY UNDERGRADUATE,"CHEM 121 GENERAL CHEMISTRY I (4)
CHEM 122 GENERAL CHEMISTRY II (4)
CHEM 123 GENERAL CHEMISTRY III (4)
CHEM 131 GENERAL CHEMISTRY LAB I (1)
CHEM 132 GENERAL CHEMISTRY LAB II (1)
CHEM 133 QUALITATIVE INORGANIC LABORATORY (1)",BELLEVUE COLLEGE,"CHEM& 161 GENERAL CHEMISTRY I (6)
CHEM& 162 GENERAL CHEMISTRY II (6)
CHEM& 163 GENERAL CHEMISTRY III (6)",,,
SEATTLE UNIVERSITY UNDERGRADUATE,"CHEM 1500 GENERAL CHEMISTRY I (4)
CHEM 1501 GENERAL CHEMISTRY LABORATORY I (1)",BELLEVUE COLLEGE,CHEM& 161 GENERAL CHEMISTRY I (6),Sciences (Lab),,
SEATTLE UNIVERSITY UNDERGRADUATE,CRJS 110 INTRODUCTION TO CRIMINAL JUSTICE (5),BELLEVUE COLLEGE,CJ& 101 INTRODUCTION TO CRIMINAL JUSTICE (5),Transferable Electives,1/1/2007,
SEATTLE UNIVERSITY UNDERGRADUATE,CSSE 103 INTRODUCTION TO COMPUTERS AND APPLICATIONS (5),BELLEVUE COLLEGE,CS 101 TECHNOLOGY & COMPUTER SCIENCE (5),Transferable Elective,1/1/1998,
SEATTLE UNIVERSITY UNDERGRADUATE,CSSE 151 FUNDAMENTALS OF COMPUTER SCIENCE I (5),BELLEVUE COLLEGE,CS 210 FUNDAMENTALS OF COMPUTER SCIENCE I (5),Transferable Elective,1/1/1998,
SEATTLE UNIVERSITY UNDERGRADUATE,CSSE 152 FUNDAMENTALS OF COMPUTER SCIENCE II (5),BELLEVUE COLLEGE,CS 211 FUNDAMENTALS OF COMPUTER SCIENCE II (5),Transferable Elective,1/1/1998,
SEATTLE UNIVERSITY UNDERGRADUATE,DRMA 214 HISTORY OF COSTUME (5),BELLEVUE COLLEGE,DRMA 901 TRANSFER-IN DRAMA THEORY COURSE,Humanities,1/1/2009,
SEATTLE UNIVERSITY UNDERGRADUATE,DRMA 250 ACTING I (5),BELLEVUE COLLEGE,DRMA 151 BASIC ACTING FUNDAMENTALS (5),Humanities (performance/studio),1/1/2010,
SEATTLE UNIVERSITY UNDERGRADUATE,DRMA 291 SPECIAL TOPICS (1 to 5),BELLEVUE COLLEGE,DRMA 901 TRANSFER-IN DRAMA THEORY COURSE,"Transferable Electives

",1/1/2007,
SEATTLE UNIVERSITY UNDERGRADUATE,ECON 271 PRINCIPLES OF ECONOMICS—MACRO (5),BELLEVUE COLLEGE,ECON& 202 MACROECONOMICS (5),Social Sciences,1/1/2002,
SEATTLE UNIVERSITY UNDERGRADUATE,ECON 272 PRINCIPLES OF ECONOMICS—MICRO (5),BELLEVUE COLLEGE,ECON& 201 MICROECONOMICS (5),Social Sciences,1/1/2002,
SEATTLE UNIVERSITY UNDERGRADUATE,ECON 2130 PRINCIPLES OF ECONOMICS - MACRO (5),BELLEVUE COLLEGE,ECON& 202 MACROECONOMICS (5),Social Sciences,1/1/2014,
SEATTLE UNIVERSITY UNDERGRADUATE,EN 110 FRESHMAN ENGLISH (5),BELLEVUE COLLEGE,ENGL& 101 ENGLISH COMPOSITION I (5),Written Communication,7/1/1994,
SEATTLE UNIVERSITY UNDERGRADUATE,ENGL 110 COLLEGE WRITING: INQUIRY AND ARGUMENT (5),BELLEVUE COLLEGE,ENGL& 101 ENGLISH COMPOSITION I (5),Written Communication,1/1/2007,
SEATTLE UNIVERSITY UNDERGRADUATE,ENGL 120 MASTERPIECES OF LITERATURE (5),BELLEVUE COLLEGE,ENGL& 111 INTRODUCTION TO LITERATURE I (5),Humanities,1/1/1998,
SEATTLE UNIVERSITY UNDERGRADUATE,ENGL 211 WRITING THE RESEARCH PAPER (3),BELLEVUE COLLEGE,ENGL 201 THE RESEARCH PAPER (5),Written Communication,7/1/2006,
SEATTLE UNIVERSITY UNDERGRADUATE,"FREN 115 FRENCH LANGUAGE I (5)
FREN 125 FRENCH LANGUAGE II (5)
FREN 135 FRENCH LANGUAGE III (5)",BELLEVUE COLLEGE,"FRCH& 121 FRENCH I (5)
FRCH& 122 FRENCH II (5)
FRCH& 123 FRENCH III (5)",Humanities,1/1/2002,
