Transfer Institution,Transfer Course,Receive Institution,Equivalent Course,Comments,Begin Date,End Date
UNIVERSITY OF WASHINGTON BOTHELL,B BIO 180 INTRODUCTORY BIOLOGY (5),BELLEVUE COLLEGE,BIOL& 212 BIOLOGY MAJORS ANIMAL OR CELLULAR OR PLANT (6),Natural Sciences,,
UNIVERSITY OF WASHINGTON BOTHELL,B BIO 200 INTRODUCTORY BIOLOGY (5),BELLEVUE COLLEGE,BIOL& 211 BIOLOGY MAJORS CELLULAR OR ANIMAL OR PLANT (6),Natural Sciences,,
UNIVERSITY OF WASHINGTON BOTHELL,B BIO 220 INTRODUCTORY BIOLOGY (5),BELLEVUE COLLEGE,BIOL& 213 BIOLOGY MAJORS PLANT OR CELLULAR OR ANIMAL (6),"Natural Sciences
",,
UNIVERSITY OF WASHINGTON BOTHELL,B BIO 240 FUNDAMENTALS OF CELLULAR BIOLOGY FOR NURSING AND ALLIED HEALTH (5),BELLEVUE COLLEGE,BIOL& 160 GENERAL BIOLOGY W/LAB (6),Sciences (Lab),,
UNIVERSITY OF WASHINGTON BOTHELL,"B BIO 241 HUMAN ANATOMY AND PHYSIOLOGY I FOR NURSING AND ALLIED HEALTH (6)
B BIO 242 HUMAN ANATOMY AND PHYSIOLOGY II FOR NURSING AND ALLIED HEALTH (6)",BELLEVUE COLLEGE,"BIOL& 241 HUMAN ANATOMY AND PHYSIOLOGY I (6)
BIOL& 242 HUMAN ANATOMY AND PHYSIOLOGY II (6)",Sciences (Lab),,
UNIVERSITY OF WASHINGTON BOTHELL,"B BIO 351 PRINCIPLES OF ANATOMY AND PHYSIOLOGY I (5)
B BIO 352 PRINCIPLES OF ANATOMY AND PHYSIOLOGY II (5)",BELLEVUE COLLEGE,"BIOL& 241 HUMAN ANATOMY AND PHYSIOLOGY I (6)
BIOL& 242 HUMAN ANATOMY AND PHYSIOLOGY II (6)",Natural Sciences (Lab),,
UNIVERSITY OF WASHINGTON BOTHELL,B BUS 201 INTRODUCTION TO BUSINESS (3),BELLEVUE COLLEGE,BUS& 101 INTRODUCTION TO BUSINESS (5),Social Sciences,,
UNIVERSITY OF WASHINGTON BOTHELL,"B BUS 210 PRINCIPLES OF FINANCIAL ACCOUNTING (5)
B BUS 211 PRINCIPLES OF MANAGERIAL ACCOUNTING (5)",BELLEVUE COLLEGE,"ACCT& 201 PRINCIPLES OF ACCOUNTING I (5)
ACCT& 202 PRINCIPLES OF ACCOUNTING II (5)
ACCT& 203 PRINCIPLES OF ACCOUNTING III (5)",Transferable Electives,,
UNIVERSITY OF WASHINGTON BOTHELL,B BUS 215 INTRODUCTION TO BUSINESS STATISTICS (5),BELLEVUE COLLEGE,BA 240 STATISTICAL ANALYSIS (5),Transferable Electives,1/1/2010,
UNIVERSITY OF WASHINGTON BOTHELL,B BUS 230 INTRODUCTION TO BUSINESS LAW (5),BELLEVUE COLLEGE,BUS& 201 BUSINESS LAW (5),Transferable Electives,,
